Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,goodhousekeeping.com - Label,goodhousekeeping.com - Points,reviewed.com - Label,reviewed.com - Points,sleepfoundation.org - Label,sleepfoundation.org - Points,wirecutter.com - Label,wirecutter.com - Points,Why Picked
Loftie Alarm Clock,Best Overall,199.99,5.0,3,,,Best Upgrade,1.5,Best Overall,2.0,Top pick,1.5,Highest weighted score (5.0 pts from 3 source(s)).
Philips SmartSleep Wake-Up Light,Best Upgrade,199.97,3.5,2,Best Sunrise Alarm Clock for Most People,2.0,,,,,Top pick,1.5,Highest score above $100 (3.5 pts from 2 source(s)).
Hatch Restore 2,Best Canadian Option,169.99,2.5,2,Best Smart Sunrise Alarm Clock,1.5,Mentioned,1.0,,,,,Canadian-owned brand.
DreamSky Compact Digital Alarm Clock,Best Budget,22.99,2.0,1,,,,,,,Top pick,2.0,Highest score under $40 (2.0 pts from 1 source(s)).
Sharp DreamCaster,,,2.0,1,,,Best Overall,2.0,,,,,
Kikkerland Vintage Bedside Alarm Clock,,27.49,1.5,1,,,,,Best Analog Alarm Clock,1.5,,,
Roxicosly Super Loud Alarm Clock,,69.99,1.5,1,,,,,Best for Heavy Sleepers,1.5,,,
LittleHippo Mella,,74.96,1.5,1,,,Best Alarm Clock for Kids,1.5,,,,,
JALL Wake Up Light Sunrise Alarm Clock,,102.91,1.5,1,Best Value Sunrise Alarm Clock,1.5,,,,,,,
Casper Glow Light,,110.61,1.5,1,Best Portable Sunrise Alarm Clock,1.5,,,,,,,
Lemnos Riki Alarm Clock,,130.0,1.5,1,,,,,,,Top pick,1.5,
Hatch Restore 3,,169.99,1.5,1,,,,,Best Sunrise Alarm Clock,1.5,,,
Lenovo Smart Clock Essential,,88.98,1.0,1,,,Mentioned,1.0,,,,,
JALL Digital Alarm Clock,,109.5,1.0,1,,,Mentioned,1.0,,,,,
PPLEE Alarm Clock with Bed Shaker,,,1.0,1,,,Mentioned,1.0,,,,,
Quartz Alarm Clock,,6.99,0,0,,,,,,,,,
"CL030050BK Digital Alarm Clock with Day, Date, Temperature and Backlight",,24.99,0,0,,,,,,,,,
