Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Architectural Digest - Label,Architectural Digest - Points,CNN - Label,CNN - Points,Good Housekeeping - Label,Good Housekeeping - Points,House Beautiful - Label,House Beautiful - Points,NYMag - Label,NYMag - Points,Reviewed - Label,Reviewed - Points,The Spruce - Label,The Spruce - Points,WIRED - Label,WIRED - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
Matin Table Lamp,Best Overall,239.0,3.5,2,,,,,,,,,Best overall,2.0,,,,,,,Runner-up,1.5,Highest weighted score (3.5 pts from 2 source(s)).
Fado Table Lamp,Best Budget,29.99,3.0,2,,,,,,,,,Best globe bedside lamp,1.5,,,Best Minimal,1.5,,,,,Highest score under $80 (3.0 pts from 2 source(s)).
Hatch Restore 2,Best Canadian Option,169.99,2.0,1,,,,,,,,,,,Top Pick,2.0,,,,,,,Canadian-owned brand.
Pablo LED Table Lamp,,177.99,2.0,1,,,,,,,Best Table Lamp Overall,2.0,,,,,,,,,,,
Louis Table Lamp,,239.0,2.0,1,,,,,,,,,,,,,Best Overall,2.0,,,,,
Loftie Lamp & Clock Nightstand Bundle,Best Upgrade,469.98,2.0,1,,,Best sunrise alarm clock,2.0,,,,,,,,,,,,,,,Highest score above $180 (2.0 pts from 1 source(s)).
Smyg Sconce,,19.99,1.5,1,,,,,,,,,Best vintage bedside light,1.5,,,,,,,,,
Mini Bocksbeutel Table Lamp,Best For Specific Use Case,27.76,1.5,1,,,,,,,Best Desk Lamp,1.5,,,,,,,,,,,Top for 'Best Desk Lamp' (1.5 pts from 1 source(s)).
Sunset Lamp Projector,,29.99,1.5,1,,,,,,,,,Best projector bedside lamp,1.5,,,,,,,,,
Cordless Iron Lamp,,49.9,1.5,1,,,,,,,,,Best metal bedside lamp,1.5,,,,,,,,,
Varmblixt Smart Lamp,,79.99,1.5,1,,,Editor’s pick,1.5,,,,,,,,,,,,,,,
Article Fila Table Lamp,,89.0,1.5,1,,,,,,,,,,,,,Best for Reading,1.5,,,,,
Ceramic Stripe Table Lamp,,89.95,1.5,1,,,,,,,Best Value Table Lamp,1.5,,,,,,,,,,,
Hatch Rest+ (2nd Gen),,89.99,1.5,1,,,Best budget sunrise alarm clock,1.5,,,,,,,,,,,,,,,
Mini Allium Lamp,,95.0,1.5,1,,,,,,,,,Best 3-D-printed bedside light,1.5,,,,,,,,,
Longshore Table Lamp Set,,99.99,1.5,1,,,,,,,,,,,,,Best Pair,1.5,,,,,
Egmont Heico Medium Mushroom Table Lamp,,129.95,1.5,1,,,,,,,,,Best cottagecore bedside light,1.5,,,,,,,,,
Bedside Lamp with USB Port,,136.28,1.5,1,,,,,,,,,,,Runner-up,1.5,,,,,,,
Teen Task Lamp,,149.99,1.5,1,,,,,,,,,,,,,Best With USB Port,1.5,,,,,
Alvaro Ucha Rodriguez Sconce,,155.0,1.5,1,,,,,,,,,Best bedside sconce,1.5,,,,,,,,,
Scallop Shape Fabric & Acrylic Table Lamp with Ceramic Base,,176.74,1.5,1,,,,,,,,,Best bedside lamp with scalloped shade,1.5,,,,,,,,,
Andrew Neyer Goodnight Light,,177.0,1.5,1,,,,,,,,,,,,,,,,,Runner-up,1.5,
Wavy Lamp,,185.0,1.5,1,,,,,,,,,Best 3-D-printed bedside light,1.5,,,,,,,,,
Vedruna Table Lamp,,189.99,1.5,1,Best Designer Lamp,1.5,,,,,,,,,,,,,,,,,
Phileas Cordless Table Lamp with Shade,,194.6,1.5,1,,,,,,,,,Best bedside lamp with patterned shade,1.5,,,,,,,,,
Walter Cordless Table Lamp,,194.6,1.5,1,,,,,,,Best Cordless Table Lamp,1.5,,,,,,,,,,,
Lucien Bedside Lamp,,195.0,1.5,1,,,,,,,Best Traditional Table Lamp,1.5,,,,,,,,,,,
Baltra Table Light,,198.0,1.5,1,,,,,,,,,Best bedside light with tray,1.5,,,,,,,,,
Wall Light,,198.0,1.5,1,,,,,,,,,,,,,Best Wall Lamp,1.5,,,,,
Centered Sunrise Alarm Clock,,199.0,1.5,1,,,Best holistic sunrise alarm clock,1.5,,,,,,,,,,,,,,,
Ribbed Glass Table Lamp,,199.99,1.5,1,Best Midcentury Table Lamp,1.5,,,,,,,,,,,,,,,,,
Pearl Rattan Table Lamp,,225.99,1.5,1,,,,,,,,,,,,,Best Rattan,1.5,,,,,
Scrunch Table Lamp,,239.0,1.5,1,Best Fabric Lamp,1.5,,,,,,,,,,,,,,,,,
EQ3 Oxford Table Lamp,,249.99,1.5,1,,,,,,,,,,,,,,,,,Runner-up,1.5,
Roland Table Lamp,,299.0,1.5,1,Best Lamp for Subtle Color,1.5,,,,,,,,,,,,,,,,,
Ripple Ceramic Table Lamp,,299.0,1.5,1,,,,,,,Best Mini Table Lamp,1.5,,,,,,,,,,,
Mi LED Desk Lamp,,300.0,1.5,1,,,,,,,,,,,,,,,,,Runner-up,1.5,
Adesso Eden Table Lamp,,349.81,1.5,1,,,,,,,,,,,,,,,,,Runner-up,1.5,
Bellhop Rechargeable LED Table Lamp,,360.0,1.5,1,Best Dimmable Lamp,1.5,,,,,,,,,,,,,,,,,
Pivot Table Lamp,,362.0,1.5,1,,,,,,,,,Best bedside light with swiveling shade,1.5,,,,,,,,,
Nova Bedside Lamp,,375.0,1.5,1,,,,,,,Best Stone Bodied Table Lamp,1.5,,,,,,,,,,,
Loftie Lamp,,379.99,1.5,1,,,,,,,,,,,,,Best Smart,1.5,,,,,
Como Petite Table Lamp,,398.0,1.5,1,Best Small Lamp,1.5,,,,,,,,,,,,,,,,,
Springview Table Lamp,,398.0,1.5,1,,,,,,,Best Bobbin Table Lamp,1.5,,,,,,,,,,,
Braque Cube Table Lamp by Jeremiah Brent,,549.0,1.5,1,Best Glass Lamp,1.5,,,,,,,,,,,,,,,,,
Ava Wall Sconce (Plug-In),,1200.0,1.5,1,,,,,,,,,Best splurge bedside sconce,1.5,,,,,,,,,
PH 2/2 Luna LED Table Lamp,,2312.0,1.5,1,Best Vintage-Style Lamp,1.5,,,,,,,,,,,,,,,,,
Atollo Table Lamp,,2315.0,1.5,1,,,,,,,Best Vintage Table Lamp,1.5,,,,,,,,,,,
Egmont Small Pink Mushroom Table Lamp,,,1.5,1,,,,,,,,,Best cottagecore bedside light,1.5,,,,,,,,,
Bilboquet Table Lamp,,,1.5,1,Best Petite Lamp,1.5,,,,,,,,,,,,,,,,,
Analog Task Light,,,1.5,1,Best Task Lamp,1.5,,,,,,,,,,,,,,,,,
Mammut Bedside Lamp,,,1.5,1,,,,,,,,,Best vintage bedside light,1.5,,,,,,,,,
Alien Table Lamp,,,1.5,1,,,,,,,,,Best splurge bedside light,1.5,,,,,,,,,
Akari 1N Table Lamp,,,1.5,1,,,,,,,,,Best sculptural bedside light,1.5,,,,,,,,,
Wallace Lamp,,,1.5,1,,,,,,,,,,,,,,,,,Runner-up,1.5,
Wake Sleep Light,,,1.5,1,,,,,,,,,Best high-tech bedside lamp,1.5,,,,,,,,,
USB Bedside Table Desk Lamp,,,1.5,1,,,,,Best for College Dorms,1.5,,,,,,,,,,,,,
7-Inch Himalayan Salt Lamp,,36.95,1.0,1,,,,,,,,,,,Mentioned,1.0,,,,,,,
Mimi Table Lamp,,39.9,1.0,1,,,,,,,,,,,,,,,Mentioned,1.0,,,
Ezvalo Music Bedside Lamp,,99.99,1.0,1,,,,,,,,,,,Mentioned,1.0,,,,,,,
Cordless Mini Wavy Lamp,,135.0,1.0,1,Notable Mention,1.0,,,,,,,,,,,,,,,,,
Tripod Base Table Lamp,,149.0,1.0,1,Notable Mention,1.0,,,,,,,,,,,,,,,,,
Lago Compact Table Lamp,,198.0,1.0,1,Notable Mention,1.0,,,,,,,,,,,,,,,,,
Panthella Portable Lamp,,285.0,1.0,1,Notable Mention,1.0,,,,,,,,,,,,,,,,,
Formosa Stone Table Lamp,,399.0,1.0,1,Notable Mention,1.0,,,,,,,,,,,,,,,,,
Table Lamp 04,,,1.0,1,Notable Mention,1.0,,,,,,,,,,,,,,,,,
Carrizalez Ceramic Table Lamp,,,1.0,1,Notable Mention,1.0,,,,,,,,,,,,,,,,,
