Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,CTV News - Label,CTV News - Points,MattressReviews.ca - Label,MattressReviews.ca - Points,Sleep Foundation Canada - Label,Sleep Foundation Canada - Points,Sleepopolis - Label,Sleepopolis - Points,Why Picked
Silk & Snow Hybrid Mattress,Best Canadian Option,900.0,6.5,4,Top Pick,2.0,An Average Bed-In-a-Box Hybrid,1.0,Best Overall Mattress,2.0,Best Value Mattress,1.5,Made/assembled in Canada.
Polysleep Sierra Mattress,Best Budget,435.0,3.0,2,Budget Pick,1.5,,,Best Mattress for Combo Sleepers,1.5,,,Highest score under $800 (3.0 pts from 2 source(s)).
Endy Hybrid Mattress,Best For Specific Use Case,1295.0,3.0,2,Runner-Up,1.5,,,Best Mattress for Back Pain,1.5,,,Top for 'Best Mattress for Back Pain' (3.0 pts from 2 source(s)).
Silk & Snow Organic Mattress,Best Upgrade,1350.0,3.0,2,Latex Pick,1.5,,,Best Mattress for Couples,1.5,,,Highest score above $1200 (3.0 pts from 2 source(s)).
Endy Original Mattress,,895.0,2.5,2,,,All-Foam Canadian Mattress,1.0,Most Comfortable Mattress,1.5,,,
Douglas Original Mattress,,799.0,2.0,1,,,Best Canadian Foam Mattress,2.0,,,,,
Helix Midnight Luxe Mattress,,2339.0,2.0,1,,,,,,,Best Mattress 2025,2.0,
Juno Mattress,,449.0,1.5,1,,,Best Value Foam,1.5,,,,,
Silk & Snow Original Mattress,,575.0,1.5,1,,,,,Best Value Mattress,1.5,,,
Polysleep Origin 2.0 Mattress,,676.0,1.5,1,,,,,Best Mattress for Side Sleepers,1.5,,,
Douglas Original Hybrid Mattress,,949.0,1.5,1,,,,,Best Mattress for Pressure Relief,1.5,,,
Douglas Alpine Mattress,,999.0,1.5,1,,,,,Best Mattress for Spinal Alignment,1.5,,,
Logan & Cove Choice Mattress,,999.0,1.5,1,,,Best Hybrid,1.5,,,,,
Octave Vista Mattress,,999.0,1.5,1,,,Best Sleep,1.5,,,,,
Logan & Cove Frontier Hybrid Mattress,,1499.0,1.5,1,,,,,Best Luxury Mattress,1.5,,,
Casper Snow Mattress,,2249.0,1.5,1,Cooling Pick,1.5,,,,,,,
Nectar Premier Mattress,,2969.0,1.5,1,,,,,,,Best Mattress for Side Sleepers,1.5,
Casper Wave Hybrid Snow Mattress,,3999.0,1.5,1,Upgrade Pick,1.5,,,,,,,
Bear Elite Hybrid Mattress,,,1.5,1,,,,,,,Best Luxury Mattress,1.5,
Brooklyn Bedding Aurora Luxe Mattress,,,1.5,1,,,,,,,Best Mattress for Back Sleepers,1.5,
DreamCloud Original Mattress,,,1.5,1,,,,,,,Best Mattress for Combination Sleepers,1.5,
Leesa Sapira Chill Hybrid Mattress,,,1.5,1,,,,,,,Best Mattress for Shoulder Pain,1.5,
Nolah Evolution Hybrid Mattress,,,1.5,1,,,,,,,Best Hybrid Mattress,1.5,
Saatva Classic Mattress,,,1.5,1,,,,,,,Best Cooling Mattress,1.5,
WinkBed Mattress,,,1.5,1,,,,,,,Best Mattress for Back Pain,1.5,
So Sleepy Arctic Cool Mattress,,499.0,1.0,1,,,Affordable Foam Mattress With No Refunds,1.0,,,,,
Hamuq Original Hybrid Mattress,,799.0,1.0,1,,,Hybrid Mattress Made in Canada,1.0,,,,,
Haven Lux Hybrid Mattress,,1150.0,1.0,1,,,"Hybrid Latex Mattress Starting at $1,150",1.0,,,,,
Sleep In Flippable Foam Mattress,,940.0,0,0,,,,,,,,,
Fawcett Goldstream Latex Hybrid Mattress,,999.0,0,0,,,,,,,,,
Obasan Organic Latex Mattress,,1639.0,0,0,,,,,,,,,
Essentia Venti Organic Latex 2 Sided Mattress,,1799.0,0,0,,,,,,,,,
Restwell Premium Pocket Coil Mattress,,,0,0,,,,,,,,,
Springwall True North Laurentian Mattress,,,0,0,,,,,,,,,
