Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Consumer Reports - Label,Consumer Reports - Points,RTINGS - Label,RTINGS - Points,Vacuum Wars - Label,Vacuum Wars - Points,Vacuum Wars YouTube - Label,Vacuum Wars YouTube - Points,Why Picked
Roborock Saros 10R,,2570.0,5.5,3,,,Best Robot Vacuum,2.0,Best Obstacle Avoidance for Mid-2025,2.0,Best Obstacle Avoidance Robot Vacuum for Mid-2025,1.5,
Ecovacs Deebot X9 Pro Omni,Best Overall,999.99,4.0,2,,,,,Best Mop System; Best for Hard Floors and Carpets; Best Overall Robot Vacuum of Mid-2025,2.0,Best for Hard Floors and Carpets for Mid-2025,2.0,Highest weighted score (4.0 pts from 2 source(s)).
eufy RoboVac C10 Auto-Empty,Best Budget,399.99,2.0,2,Mentioned,1.0,Best Cheap Robot Vacuum Cleaner,1.0,,,,,Highest score under $700 (2.0 pts from 2 source(s)).
MOVA P10 Pro Ultra,,599.0,2.0,2,,,,,"Best Mid-Level, Best Value, and Fan Favorite Robot Vacuum for Mid-2025",1.0,"Best Mid-Level, Best Value, and Fan Favorite Robot Vacuum for Mid-2025",1.0,
Roborock Saros Z70,Best For Specific Use Case,1499.0,2.0,2,,,,,Most Innovative Robot Vacuum for Mid-2025,1.0,Most Innovative Robot Vacuum for Mid-2025,1.0,Top for 'Most Innovative Robot Vacuum for Mid-2025' (2.0 pts from 2 source(s)).
Yeedi C12 Pro Plus,,,2.0,2,,,,,Best Budget Robot Vacuum for Mid-2025,1.0,Best Budget Robot Vacuum for Mid-2025,1.0,
MOVA P50 Pro Ultra,,649.0,1.5,1,,,Best Mid-Range Robot Vacuum Cleaner,1.5,,,,,
Ecovacs Deebot T80 Omni,,799.99,1.5,1,,,,,Runner-Up for Best Robot Vacuum for Mid-2025,1.5,,,
Ecovacs Deebot T90 Pro Omni,,1099.99,1.5,1,,,,,#2,1.5,,,
Ecovacs Deebot X12 OmniCyclone,Best Upgrade,1999.99,1.5,1,,,,,#3,1.5,,,Highest score above $1500 (1.5 pts from 1 source(s)).
Eureka NERE10SW,,249.95,1.0,1,Mentioned,1.0,,,,,,,
iRobot Roomba Max 705,,599.99,1.0,1,Mentioned,1.0,,,,,,,
Dyson 360 Vis Nav,,799.93,1.0,1,Mentioned,1.0,,,,,,,
eufy RoboVac E20,,799.99,1.0,1,,,Best Budget Robot Vacuum Cleaner,1.0,,,,,
eufy RoboVac E28 Omni,,1299.99,1.0,1,,,,,#4,1.0,,,
Narwal Freo Z Ultra,,,1.0,1,,,,,#5,1.0,,,
UltraVision Pet Self-Empty Robot Vacuum & Mop,Best Canadian Option,1129.0,0,0,,,,,,,,,Canadian-owned brand (not reviewer-backed).
