Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Business Insider - Label,Business Insider - Points,Sleep Foundation - Label,Sleep Foundation - Points,Travel + Leisure - Label,Travel + Leisure - Points,WIRED - Label,WIRED - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
Harmony Anywhere Pillow,,281.0,4.5,3,Best cooling,1.5,,,Best Rectangular,1.5,Best Firm Travel Pillow,1.5,,,
Cabeau Evolution S3 Travel Pillow,Best Overall,59.99,4.0,3,Runner up,1.5,Best for Neck Support,1.5,,,,,Mentioned,1.0,Highest weighted score (4.0 pts from 3 source(s)).
Ostrichpillow Go Neck Pillow,,67.77,4.0,2,,,Best Overall,2.0,Best Overall,2.0,,,,,
Coop Sleep Goods AirJustable Travel Neck Pillow,Best Upgrade,79.99,3.5,2,Best overall,2.0,,,Best Inflatable,1.5,,,,,Highest score above $60 (3.5 pts from 2 source(s)).
Hest Pro Travel Pillow,Best For Specific Use Case,119.99,3.0,2,,,Best Multi-Use,1.5,Most Comfortable,1.5,,,,,Top for 'Most Comfortable' (3.0 pts from 2 source(s)).
Pluto Pillow Pod,,145.0,3.0,2,,,Best Sensory Deprivation,1.5,Best Hooded,1.5,,,,,
Travelrest Nest Ultimate Memory Foam Travel Pillow,,,3.0,2,,,,,,,Best Neck Pillow,2.0,Mentioned,1.0,
Slumber Cloud UltraCool Travel Pillow,,67.0,2.5,2,,,,,Other Travel Pillows We Liked,1.0,Best Squishy Travel Pillow,1.5,,,
Trtl Pillow Plus,,79.99,2.5,2,Best for extra neck support,1.5,,,,,,,Mentioned,1.0,
BCOZZY Travel Pillow,,107.99,2.5,2,Best for kids,1.5,,,,,,,Mentioned,1.0,
Cabeau Evolution Cool Travel Pillow,,89.99,2.0,2,,,,,Other Travel Pillows We Liked,1.0,,,Mentioned,1.0,
Samsonite 2-in-1 Magic Travel Pillow,Best Budget,14.0,1.5,1,,,,,Best Value,1.5,,,,,Highest score under $30 (1.5 pts from 1 source(s)).
Aeris Memory Foam Travel Pillow,Best Canadian Option,18.97,1.5,1,,,,,Firmest,1.5,,,,,Canadian-owned brand.
BUYUE Travel Neck Pillow,,19.97,1.5,1,,,,,Best Adjustability,1.5,,,,,
Sleep Number U-Neck Pillow,,39.99,1.5,1,,,Best Value,1.5,,,,,,,
Sleep Number Travel Pillow,,49.99,1.5,1,,,,,Best Breathable,1.5,,,,,
Travelrest Ultimate Memory Foam Travel Pillow,,54.99,1.5,1,A less expensive option,1.5,,,,,,,,,
Infinity Pillow Travel Pillow,,55.0,1.5,1,,,,,Best For Long Flights,1.5,,,,,
Twist Travel Pillow,,55.7,1.5,1,,,,,,,Most Versatile,1.5,,,
Cabeau Evolution X Travel Pillow,,69.99,1.5,1,,,,,Best Minimal,1.5,,,,,
Tempur-Pedic Travel Pillow,,79.0,1.5,1,,,Best for Neck Pain,1.5,,,,,,,
Manta Sleep Travel Pillow,,103.0,1.5,1,,,Best Inflatable,1.5,,,,,,,
Avocado Mini Pillow,,139.0,1.5,1,,,Most Comfortable,1.5,,,,,,,
The Scrumptious Travel Pillow,,169.99,1.5,1,,,,,,,Best Travel Pillow for Hotels,1.5,,,
Caldera Releaf Travel Pillow,,19.99,1.0,1,,,,,,,,,Mentioned,1.0,
Cabeau Evolution Classic Travel Pillow,,42.0,1.0,1,,,,,,,,,Mentioned,1.0,
Trtl Pillow,,48.32,1.0,1,,,,,,,,,Mentioned,1.0,
J-Pillow Travel Pillow,,79.99,1.0,1,,,,,Other Travel Pillows We Liked,1.0,,,,,
Trtl Travel Pillow Warm,,89.99,1.0,1,,,,,Other Travel Pillows We Liked,1.0,,,,,
Posture+ Travel Pillow,,90.0,1.0,1,,,,,,,,,Mentioned,1.0,
Travelrest All-in-One Travel Pillow,,,1.0,1,,,,,,,,,Mentioned,1.0,
Orthex Somnia 3.5 Travel Pillow,,69.95,0,0,,,,,,,,,,,
Goose Down Travel Pillow,,120.99,0,0,,,,,,,,,,,
Kakun Organic Travel Pillow,,149.0,0,0,,,,,,,,,,,
enVy To Go Travel Pillow,,149.0,0,0,,,,,,,,,,,
Travel Pillow – Compact Comfort with Cotton Pillowcase and Travel Case,,209.0,0,0,,,,,,,,,,,
Ultimate St Moritz Goose Down Inflatable Travel Pillow -- 800 Loft*,,215.0,0,0,,,,,,,,,,,
CD6520 – Neck pillow/cushion,,,0,0,,,,,,,,,,,
600 Loft White Down Travel Pillow,,,0,0,,,,,,,,,,,
