Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,CNET - Label,CNET - Points,Consumer Reports - Label,Consumer Reports - Points,RTINGS - Label,RTINGS - Points,Why Picked
LG OLED65G5WUA,Best Overall,2698.0,3.0,2,The Brightest OLED Yet,1.5,Best money-no-object OLED,1.5,,,Highest weighted score (3.0 pts from 2 source(s)).
TCL QM8K,,,3.0,2,Best Budget Model,1.5,,,Best Mid-Range TV,1.5,
Samsung QN65QN90F,Best For Specific Use Case,1998.0,2.0,1,,,Best non-OLED for bright rooms,2.0,,,Top for 'Best non-OLED for bright rooms' (2.0 pts from 1 source(s)).
Roku 65R8B5,Best Budget,599.99,1.5,1,,,Simple smart TV experience,1.5,,,Highest score under $800 (1.5 pts from 1 source(s)).
Samsung QN65QN84FA,,998.0,1.5,1,,,"Best 65-inch value around $1,000",1.5,,,
TCL QM6K,,999.99,1.5,1,,,,,Best Budget TV,1.5,
Hisense 65U75QG,Best Canadian Option,1099.99,1.5,1,,,Aggressive value,1.5,,,Canadian-owned brand.
LG 65QNED92AUA,,1298.0,1.5,1,,,Bright-room value pick,1.5,,,
Sony XR-65X90L,,1299.99,1.5,1,,,Balanced motion and processing,1.5,,,
TCL QM7K,,1499.99,1.5,1,,,,,Best Lower Mid-Range TV,1.5,
LG OLED65C4PUA,,1598.0,1.5,1,,,Best all-around OLED value,1.5,,,
LG 65QNED90TUA,,1599.97,1.5,1,,,Bright-room value pick,1.5,,,
Samsung QN65QN95F,Best Upgrade,2499.99,1.5,1,,,Best money-no-object OLED,1.5,,,Highest score above $2000 (1.5 pts from 1 source(s)).
Samsung QN65QN90D,,2004.25,1.0,1,,,Still great holdover,1.0,,,
Sony XR-65A95L,,4999.99,1.0,1,,,Still great holdover,1.0,,,
Samsung QN65QN95D,,,1.0,1,,,Still great holdover,1.0,,,
"Proscan 55"" 4K UHD Roku Smart TV (PTRU5580)",,369.95,0,0,,,,,,,
65″ SMART 4K UHD webOS TV (RWOSU6549),,,0,0,,,,,,,
Electrohome Circa 75 Model 701 B (1968),,,0,0,,,,,,,
