Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Tom's Guide - Label,Tom's Guide - Points,WIRED - Label,WIRED - Points,Wirecutter (Laptops) - Label,Wirecutter (Laptops) - Points,Wirecutter (Phones) - Label,Wirecutter (Phones) - Points,Why Picked
Anker 747 PowerCore 26K,,42.59,2.0,1,,,,,Top pick,2.0,,,
Belkin BoostCharge Plus 10K,Best Overall,79.99,2.0,1,,,,,,,Best Overall,2.0,Highest weighted score (2.0 pts from 1 source(s)).
CUKTECH 30 Power Bank,Best Upgrade,999.0,2.0,1,Best portable charger overall,2.0,,,,,,,Highest score above $80 (2.0 pts from 1 source(s)).
Nimble Champ Series 2,Best For Specific Use Case,69.99,1.5,1,,,Best Smaller Power Bank,1.5,,,,,Top for 'Best Smaller Power Bank' (1.5 pts from 1 source(s)).
Statik SmartCharge Pro,,99.99,1.5,1,Best power bank for travel,1.5,,,,,,,
Anker MagGo Power Bank for Apple Watch,,119.99,1.5,1,,,Best for Apple Watch,1.5,,,,,
"Anker MagGo Power Bank (10K, Qi2)",,129.99,1.5,1,,,Best Magsafe/Qi2 Portable Charger,1.5,,,,,
EcoFlow Rapid Power Bank,,129.99,1.5,1,Best portable charger for iPhone,1.5,,,,,,,
UGREEN Nexode 145W Power Bank,,129.99,1.5,1,,,,,Budget pick,1.5,,,
Shargeek 170 Power Bank,,135.99,1.5,1,,,Best-Looking Power Bank,1.5,,,,,
UGREEN Nexode 12000mAh Power Bank,,135.99,1.5,1,Best budget portable charger,1.5,,,,,,,
Omnicharge Omni Mobile 25600,,199.0,1.5,1,,,,,Also great,1.5,,,
Anker PowerHouse 521,,236.99,1.5,1,Best power station for camping,1.5,,,,,,,
Omnicharge Omni 20C+,,349.0,1.5,1,,,,,Wireless and hub pick,1.5,,,
Scosche GoBat 10K,,499.9,1.5,1,,,,,,,Best Value,1.5,
INIU Pocket Rocket,,,1.5,1,Most pocketable portable charger,1.5,,,,,,,
Sharge IceMag 2,,,1.5,1,Best high-capacity MagSafe charger,1.5,,,,,,,
