Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Allure - Label,Allure - Points,Dermstore - Label,Dermstore - Points,Evident Health - Label,Evident Health - Points,Healthline - Label,Healthline - Points,NBC Select - Label,NBC Select - Points,Why Picked
SkinCeuticals C E Ferulic Serum,Best Overall,219.0,9.5,5,Best Vitamin C Serum Overall,2.0,Best for Sagging Skin,1.5,Best overall,2.0,A splurge people swear by,2.0,Best overall,2.0,Highest weighted score (9.5 pts from 5 source(s)).
Sunday Riley C.E.O. 15% Vitamin C Brightening Serum,Best Upgrade,85.0,4.0,3,Mentioned,1.0,Best for Dry Skin,1.5,,,,,Best for dry skin,1.5,Highest score above $80 (4.0 pts from 3 source(s)).
La Roche-Posay Pure Vitamin C Face Serum 10%,,,4.0,3,Mentioned,1.0,,,,,Best for acne-prone skin,1.5,Best for exfoliating,1.5,
Paula’s Choice C15 Super Booster,Best For Specific Use Case,44.0,3.0,2,Best for Dark Spots,1.5,,,,,,,Best for beginners,1.5,Top for 'Best for Dark Spots' (3.0 pts from 2 source(s)).
Dr. Loretta Anti-Aging Repair Serum,,110.0,3.0,2,Best for Sensitive Skin,1.5,,,,,,,Best for mature skin,1.5,
Obagi Medical Professional-C 20% Vitamin C Serum,,202.0,3.0,2,Best for Sun Damage,1.5,Best for Oily Skin,1.5,,,,,,,
Timeless 20% Vitamin C + E Ferulic Acid Serum,,,3.0,2,,,,,Best value,1.5,Best under $30,1.5,,,
BeautyStat Universal C Skin Refiner 20% Vitamin C Brightening Serum,Best Budget,27.5,2.0,1,,,Best Overall,2.0,,,,,,,Highest score under $30 (2.0 pts from 1 source(s)).
The Ordinary Ascorbic Acid 8% + Alpha Arbutin 2%,Best Canadian Option,14.2,1.5,1,,,,,Best budget,1.5,,,,,Made/assembled in Canada.
Naturium Vitamin C Complex Serum,,21.0,1.5,1,Best for Dry Skin,1.5,,,,,,,,,
Geologie Vitamin C + E Ferulic Serum,,21.96,1.5,1,,,,,,,Best for sensitive skin,1.5,,,
The Inkey List 15% Vitamin C + EGF Serum,,23.0,1.5,1,,,,,,,,,Best for redness,1.5,
SENTÉ Bio Complete Serum,,25.0,1.5,1,,,Best for Sensitive Skin,1.5,,,,,,,
Belif Super Drops Niacinamide Vitamin C Glow Serum,,34.99,1.5,1,,,,,,,,,Best for glowy skin,1.5,
Mad Hippie Vitamin C Serum,,37.59,1.5,1,,,,,,,,,Best for sensitive skin,1.5,
Geek & Gorgeous C-Glow,,50.86,1.5,1,,,,,Best for sensitive skin,1.5,,,,,
Kiehl's Clearly Corrective Dark Spot Correcting Serum,,65.0,1.5,1,,,,,,,,,Best for scars,1.5,
107 Beauty Soseo Vinbiome Vitamin C Serum,,70.0,1.5,1,,,,,,,,,Most versatile,1.5,
Dermalogica BioLumin-C Heat-Aging Protector SPF 50 Serum,,79.0,1.5,1,,,Best with SPF,1.5,,,,,,,
KORA Organics Kakadu Plum Brightening Vitamin C Serum,,79.0,1.5,1,,,,,,,,,Another sensitive skin option,1.5,
Summer Fridays CC Me Serum,,92.0,1.5,1,,,,,,,,,Most lightweight,1.5,
Drunk Elephant C-Firma Fresh Day Serum,,104.0,1.5,1,,,,,,,A comparable option at half the cost,1.5,,,
U Beauty Resurfacing Compound,,120.0,1.5,1,,,,,,,,,Best for oily skin,1.5,
Peter Thomas Roth Potent-C Power Serum,,125.0,1.5,1,,,Best for Beginners,1.5,,,,,,,
Mara Chlorella + Reishi Sea Vitamin C Serum,,140.0,1.5,1,,,,,,,,,Most hydrating,1.5,
Revision Skincare Vitamin C Lotion,,155.0,1.5,1,,,,,,,,,Best lotion,1.5,
Revision Skincare C+ Correcting Complex 30%,,163.0,1.5,1,Best for Acne Scars,1.5,,,,,,,,,
Allies of Skin 35% Vitamin C Perfecting Serum,,168.0,1.5,1,,,Best for Glowy Skin,1.5,,,,,,,
Jan Marini C-ESTA Face Serum,,190.0,1.5,1,,,Best for Hyperpigmentation,1.5,,,,,,,
CeraVe Skin Renewing Vitamin C Serum,,,1.5,1,,,,,,,,,Best budget pick,1.5,
Medik8 Super C Ferulic Serum,,,1.5,1,,,Best for Dull Skin,1.5,,,,,,,
Yon-Ka Paris Serum Vitamine C,,,1.5,1,,,Best for Fine Lines,1.5,,,,,,,
Dr. Dennis Gross Skincare Vitamin C Lactic 15% Firm & Bright Serum,,87.0,1.0,1,Mentioned,1.0,,,,,,,,,
Alastin Skincare C-Radical Defense Antioxidant Serum,,218.0,1.0,1,Mentioned,1.0,,,,,,,,,
Vitamin C24 22% Vitamin C Serum,,19.99,0,0,,,,,,,,,,,
Brighten Vitamin C Face Serum,,42.0,0,0,,,,,,,,,,,
Brighten + Firm 15% Vitamin C Serum,,93.0,0,0,,,,,,,,,,,
Superpowered Vitamin C Serum,,118.0,0,0,,,,,,,,,,,
Kine-C Antioxidant Serum with 10% L-Ascorbic Acid USP + Peptides,,198.0,0,0,,,,,,,,,,,
